,s,a,sp,r
385,3,8,3,-3.0
386,3,9,3,-5.0
387,3,10,3,-2.0
388,3,11,3,-3.0
389,3,12,3,-2.0
390,3,13,3,-3.0
391,3,14,3,-3.0
392,5,1,3,-3.0
393,5,2,3,0.0
394,5,3,3,4.0
395,5,4,3,-2.0
396,5,5,3,-3.0
397,5,6,3,-3.0
398,5,7,3,-3.0
399,5,8,3,-3.0
400,5,9,3,-5.0
401,5,10,3,-2.0
402,5,11,3,-3.0
403,5,12,3,-2.0
404,5,13,3,-3.0
405,5,14,3,-3.0
406,8,1,8,-3.0
407,8,2,8,-3.0
408,8,3,8,-3.0
409,8,4,8,-3.0
410,8,5,8,-3.0
411,8,6,8,-3.0
412,8,7,8,-3.0
413,8,8,8,4.0
414,8,9,8,-3.0
415,8,10,8,-3.0
416,8,11,8,-3.0
417,8,12,8,-3.0
418,8,13,8,-3.0
419,8,14,8,-3.0
420,12,1,10,-3.0
421,12,2,10,-1.0
422,12,3,10,-2.0
423,12,4,10,-2.0
424,12,5,10,-2.0
425,12,6,10,-5.0
426,12,7,10,-3.0
427,12,8,10,-3.0
428,12,9,10,-5.0
429,12,10,10,4.0
430,12,11,10,-2.0
431,12,12,10,-3.0
432,12,13,10,-3.0
433,12,14,10,-5.0
434,10,1,4,-3.0
435,10,2,4,-3.0
436,10,3,4,-2.0
437,10,4,4,5.0
438,10,5,4,-3.0
439,10,6,4,-2.0
440,10,7,4,-3.0
441,10,8,4,-3.0
442,10,9,4,-5.0
443,10,10,4,-2.0
444,10,11,4,-3.0
445,10,12,4,-4.0
446,10,13,4,-2.0
447,10,14,4,-3.0
448,4,1,4,-3.0
449,4,2,4,-3.0
450,4,3,4,-2.0
451,4,4,4,5.0
452,4,5,4,-3.0
453,4,6,4,-2.0
454,4,7,4,-3.0
455,4,8,4,-3.0
456,4,9,4,-5.0
457,4,10,4,-2.0
458,4,11,4,-3.0
459,4,12,4,-4.0
460,4,13,4,-2.0
461,4,14,4,-3.0
462,4,1,4,-3.0
463,4,2,4,-3.0
464,4,3,4,-2.0
465,4,4,4,5.0
466,4,5,4,-3.0
467,4,6,4,-2.0
468,4,7,4,-3.0
469,4,8,4,-3.0
470,4,9,4,-5.0
471,4,10,4,-2.0
472,4,11,4,-3.0
473,4,12,4,-4.0
474,4,13,4,-2.0
475,4,14,4,-3.0
476,4,1,4,-3.0
477,4,2,4,-3.0
478,4,3,4,-2.0
479,4,4,4,3.0
480,4,5,4,-3.0
481,4,6,4,-2.0
482,4,7,4,-3.0
483,4,8,4,-3.0
484,4,9,4,-5.0
485,4,10,4,-2.0
486,4,11,4,-3.0
487,4,12,4,-4.0
488,4,13,4,-2.0
489,4,14,4,-3.0
490,4,1,4,-3.0
491,4,2,4,-3.0
492,4,3,4,-2.0
493,4,4,4,5.0
494,4,5,4,-3.0
495,4,6,4,-2.0
496,4,7,4,-3.0
497,4,8,4,-3.0
498,4,9,4,-5.0
499,4,10,4,-2.0
500,4,11,4,-3.0
501,4,12,4,-4.0
502,4,13,4,-2.0
503,4,14,4,-3.0
504,4,1,7,-2.0
505,4,2,7,-3.0
506,4,3,7,-3.0
507,4,4,7,-3.0
508,4,5,7,-3.0
509,4,6,7,-5.0
510,4,7,7,4.0
511,4,8,7,-3.0
512,4,9,7,-2.0
513,4,10,7,-3.0
514,4,11,7,-2.0
515,4,12,7,-3.0
516,4,13,7,-3.0
517,4,14,7,-2.0
518,9,1,3,-3.0
519,9,2,3,0.0
520,9,3,3,3.0
521,9,4,3,-2.0
522,9,5,3,-3.0
523,9,6,3,-3.0
524,9,7,3,-3.0
525,9,8,3,-3.0
526,9,9,3,-5.0
527,9,10,3,-2.0
528,9,11,3,-3.0
529,9,12,3,-2.0
530,9,13,3,-3.0
531,9,14,3,-3.0
